"","image_id","predefined_tags","people_n","ethnicities","sign_slogan_symbol","anger","fear","disgust","sadness","enthusiasm"
"921",60146,"Street protest, Police, Police vehicles",40,"Black, White, non-Hispanic","protest sign",1,1,1,0,1
"922",49672,"Street protest, Police",40,"Black, White, non-Hispanic","protest sign",3,1,1,0,3
"923",58573,"Street protest",40,"Black, White, non-Hispanic","protest sign",1,1,1,1,1
"924",56351,"Street protest",40,"Black, White, non-Hispanic","protest sign",2,1,1,1,3
"925",65369,"Street protest",40,"Black, White, non-Hispanic","",1,1,1,1,1
"926",40029,"Street protest, Advertisement for protest or BLM event, Headshot, Headshot identified/identifiable as someone killed by police brutality",38,"Black, White, non-Hispanic, Latino, Hispanic, None of the above (or leave blank)","protest sign",2,1,1,0,1
"927",62579,"Street protest, Advertisement for protest or BLM event, Headshot, Headshot identified/identifiable as someone killed by police brutality, Die-in",35,"Black, White, non-Hispanic","protest sign, protest slogan (e.g. black lives matter; hands up, don't shoot!)",3,1,3,0,1
"928",59129,"Street protest",35,"Black, White, non-Hispanic","",2,1,1,1,2
"929",153633,"Police, Police vehicles",31,"Black, White, non-Hispanic","",0,1,0,0,1
"930",27512,"Advertisement for protest or BLM event",30,"Black, White, non-Hispanic, Latino, Hispanic","protest sign",3,1,3,3,5
"931",36658,"Street protest, Police",30,"Black, White, non-Hispanic, Native/Indigenous","protest sign",3,1,3,3,4
"932",49245,"Street protest",30,"Black, White, non-Hispanic","",2,1,2,2,2
"933",171382,"Street protest",30,"Black, White, non-Hispanic, Asian","",3,1,2,2,2
"934",44294,"Street protest",30,"Black, White, non-Hispanic","",2,1,1,1,2
"935",159436,"Street protest, Police vehicles",30,"Black, White, non-Hispanic","protest sign, symbol (e.g. flags, logos)",2,1,1,0,2
"936",60796,"Street protest, Advertisement for protest or BLM event, Headshot, Headshot identified/identifiable as someone killed by police brutality, Police, Police vehicles",30,"Black, White, non-Hispanic","protest sign, protest slogan (e.g. black lives matter; hands up, don't shoot!)",1,1,0,0,1
"937",44849,"Street protest, Headshot, Police, Police vehicles",30,"Black, White, non-Hispanic","protest sign",0,1,0,0,2
"938",28684,"Street protest",30,"Black","protest sign, protest slogan (e.g. black lives matter; hands up, don't shoot!)",2,1,2,2,2
"939",66382,"Street protest",30,"Black, White, non-Hispanic","",1,1,1,1,1
"940",39068,"Street protest, Advertisement for protest or BLM event",27,"Black, White, non-Hispanic","protest sign",2,1,0,0,2
"941",163620,"Screenshot (of Twitter or from news video, etc), Advertisement for protest or BLM event, Headshot",27,"Black, White, non-Hispanic, Latino, Hispanic","",4,1,3,4,3
"942",579,"Advertisement for protest or BLM event, Headshot, Headshot identified/identifiable as someone killed by police brutality",27,"Black, White, non-Hispanic, Latino, Hispanic","protest slogan (e.g. black lives matter; hands up, don't shoot!)",2,1,0,4,2
"943",171329,"Street protest",27,"Black, White, non-Hispanic","symbol (e.g. flags, logos)",2,1,2,1,2
"944",66870,"Police",25,"Black, White, non-Hispanic, Latino, Hispanic","",2,1,2,1,1
"945",169144,"Street protest",25,"Black, White, non-Hispanic","protest slogan (e.g. black lives matter; hands up, don't shoot!)",1,1,2,2,6
"946",63965,"Street protest, Headshot, Headshot identified/identifiable as someone killed by police brutality",24,"Black, White, non-Hispanic","protest sign",1,1,0,1,2
"947",35323,"Advertisement for protest or BLM event",23,"Black, White, non-Hispanic","protest sign, protest slogan (e.g. black lives matter; hands up, don't shoot!)",2,1,4,4,1
"948",44278,"Street protest, Police",22,"Black, White, non-Hispanic, Asian","protest sign",2,1,2,1,3
"949",68256,"Police, Police vehicles",22,"White, non-Hispanic","",0,1,0,0,0
"950",66044,"Police, Police vehicles",21,"Black, White, non-Hispanic","",0,1,0,0,0
"951",28542,"Advertisement for protest or BLM event, Headshot, Headshot identified/identifiable as someone killed by police brutality",21,"Black, White, non-Hispanic","protest slogan (e.g. black lives matter; hands up, don't shoot!)",3,1,4,4,5
"952",29625,"Headshot, Headshot identified/identifiable as someone killed by police brutality",21,"Black, White, non-Hispanic, Latino, Hispanic","protest slogan (e.g. black lives matter; hands up, don't shoot!)",3,1,3,3,5
"953",105495,"Street protest",21,"Black, White, non-Hispanic","protest sign, protest slogan (e.g. black lives matter; hands up, don't shoot!)",1,1,0,0,1
"954",50776,"Police, Police vehicles",20,"Black, White, non-Hispanic","",1,1,1,1,1
"955",108760,"Police, Police vehicles",20,"Black, White, non-Hispanic","",1,1,1,1,1
"956",68307,"Advertisement for protest or BLM event, Police",20,"White, non-Hispanic","",2,1,1,1,3
"957",42567,"Street protest, Advertisement for protest or BLM event, Police, Police vehicles",20,"White, non-Hispanic","protest sign",2,1,2,2,2
"958",169214,"Police",20,"Black, White, non-Hispanic","",1,1,1,1,1
"959",39820,"Street protest, Advertisement for protest or BLM event, Headshot, Headshot identified/identifiable as someone killed by police brutality",19,"Black, White, non-Hispanic","protest sign, protest slogan (e.g. black lives matter; hands up, don't shoot!)",3,1,0,0,3
"960",48773,"Street protest, Headshot, Police",19,"White, non-Hispanic","protest sign",2,1,2,3,3
"961",39219,"Street protest, Headshot, Headshot identified/identifiable as someone killed by police brutality",19,"Black, White, non-Hispanic","protest sign",2,1,2,2,2
"962",88591,"Street protest, Headshot, Headshot identified/identifiable as someone killed by police brutality, Police, Police vehicles",19,"Black, White, non-Hispanic","protest sign, protest slogan (e.g. black lives matter; hands up, don't shoot!)",4,1,0,3,3
"963",153477,"Street protest, Police",19,"Black, White, non-Hispanic","",2,1,1,0,2
"964",129720,"Police",18,"Black, White, non-Hispanic","protest sign",1,1,0,0,1
"965",55426,"Police",18,"Black, White, non-Hispanic","",0,1,0,0,0
"966",76330,"Police making arrest, Police, Police vehicles",18,"Black, White, non-Hispanic","",2,1,5,4,2
"967",109599,"Street protest, Advertisement for protest or BLM event, Headshot, Headshot identified/identifiable as someone killed by police brutality, Police, Police vehicles",18,"Black, White, non-Hispanic","protest sign, protest slogan (e.g. black lives matter; hands up, don't shoot!)",3,1,0,0,4
"968",50023,"Police making arrest, Police, Police vehicles",17,"Black, White, non-Hispanic","",0,1,1,2,1
"969",95968,"Street protest, Police, Police vehicles",16,"Black, White, non-Hispanic","",2,1,1,1,5
"970",2732,"Street protest",15,"Black, White, non-Hispanic","protest slogan (e.g. black lives matter; hands up, don't shoot!)",2,1,1,1,2
"971",47348,"Police",15,"Black, White, non-Hispanic","",2,1,2,2,1
"972",64075,"Street protest",15,"Black","protest sign, symbol (e.g. flags, logos)",3,1,2,0,5
"973",146745,"Street protest",15,"Black, White, non-Hispanic","",2,1,1,1,6
"974",47124,"Street protest, Headshot",15,"Black, White, non-Hispanic","protest sign",2,1,2,1,2
"975",14417,"Street protest",15,"Black","",1,1,1,1,1
"976",58783,"Police making arrest, Police, Police vehicles",15,"Black, White, non-Hispanic, Latino, Hispanic","",1,1,2,3,1
"977",169039,"Street protest, Police vehicles",15,"White, non-Hispanic","",1,1,1,1,1
"978",169214,"Police",14,"Black, White, non-Hispanic","",0,1,0,0,0
"979",42222,"Street protest, Advertisement for protest or BLM event, Headshot, Headshot identified/identifiable as someone killed by police brutality, Police, Police vehicles",13,"Black, White, non-Hispanic","protest sign, protest slogan (e.g. black lives matter; hands up, don't shoot!)",2,1,1,0,1
"980",47348,"Police making arrest, Police",13,"Black, White, non-Hispanic","",0,1,1,1,0
"981",181842,"Street protest",13,"Black, White, non-Hispanic","protest sign",2,1,3,1,1
"982",127555,"Street protest",13,"Black, White, non-Hispanic","protest sign",3,1,1,0,5
"983",164896,"Street protest",13,"Latino, Hispanic","protest sign",1,1,1,1,2
